seg_id,long,lat,pos_x,pos_y,index,speed,time,usage_type,terrain
rail_621,117.857768485215,36.8477752300586,8309,4355,73355687,250,0.00203867735218331,passenger,1
rail_621,117.864011107844,36.8519251034109,8310,4354,73364515,250,0.00203867736746798,passenger,1
rail_621,117.869790544418,36.8515713272111,8311,4354,73373344,250,0.00203867738403962,passenger,1
rail_621,117.875569927566,36.8512172916572,8312,4354,73382173,250,0.00203867740062555,passenger,1
rail_621,117.881813795572,36.8553663023069,8313,4353,73391001,250,0.00203867741582596,passenger,1
rail_621,117.887593409521,36.8550117271675,8314,4353,73399830,250,0.00203867743244528,passenger,1
rail_621,117.89337296992,36.8546568926699,8315,4353,73408659,250,0.00203867744908114,passenger,1
rail_621,117.8996180831,36.8588050404208,8316,4352,73417487,250,0.0020386774642014,passenger,1
rail_621,117.905397874062,36.85844966628,8317,4352,73426316,250,0.00203867748086674,passenger,1
rail_621,117.911177611348,36.858094032777,8318,4352,73435145,250,0.00203867749754534,passenger,1
rail_621,117.917423969499,36.8622413174328,8319,4351,73443973,250,0.00203867751258873,passenger,1
rail_621,117.92320393711,36.861885144229,8320,4351,73452802,250,0.00203867752930534,passenger,1
rail_621,117.928983850921,36.8615287116588,8321,4351,73461631,250,0.00203867754603084,passenger,1
rail_621,117.93523145384,36.8656751330233,8322,4350,73470459,250,0.00203867756098936,passenger,1
rail_621,117.941011597737,36.8653181606948,8323,4350,73479288,250,0.0020386775777559,passenger,1
rail_621,117.946791687708,36.8649609289959,8324,4350,73488117,250,0.00203867759452549,passenger,1
rail_621,117.952571723716,36.8646034379301,8325,4350,73496946,250,0.00203867761131104,passenger,1
rail_621,117.95882085501,36.868748715358,8326,4349,73505774,250,0.00203867762621889,passenger,1
rail_621,117.96460112078,36.8683906844687,8327,4349,73514603,250,0.00203867764303921,passenger,1
rail_621,117.970381332461,36.8680323942086,8328,4349,73523432,250,0.00203867765987456,passenger,1
rail_621,117.976161490015,36.8676738445812,8329,4349,73532261,250,0.00203867767671502,passenger,1
rail_621,117.982412149204,36.8718179777581,8330,4348,73541089,250,0.00203867769156674,passenger,1
rail_621,117.988192536194,36.8714588882422,8331,4348,73549918,250,0.00203867770844699,passenger,1
rail_621,117.993972868933,36.8710995393551,8332,4348,73558747,250,0.00203867772533607,passenger,1
rail_621,117.999753147382,36.8707399311003,8333,4348,73567576,250,0.00203867774223886,passenger,1
rail_621,118.005533371502,36.8703800634815,8334,4348,73576405,250,0.00203867775914791,passenger,1
rail_621,118.011785841544,36.8745227715035,8335,4347,73585233,250,0.0020386777739733,passenger,1
rail_621,118.017566294689,36.8741623639237,8336,4347,73594062,250,0.00203867779092153,passenger,1
rail_621,118.023346693381,36.8738016969759,8337,4347,73602891,250,0.0020386778078827,passenger,1
rail_621,118.029127037581,36.8734407706638,8338,4347,73611720,250,0.00203867782485474,passenger,1
rail_621,118.034907327251,36.8730795849912,8339,4347,73620549,250,0.00203867784183191,passenger,1
rail_621,118.040687562353,36.8727181399616,8340,4347,73629378,250,0.00203867785882234,passenger,1
rail_621,118.046942125575,36.8768591416972,8341,4346,73638206,250,0.00203867787364892,passenger,1
rail_621,118.052722589203,36.8764971566264,8342,4346,73647035,250,0.00203867789067535,passenger,1
rail_621,118.058502998137,36.8761349121948,8343,4346,73655864,250,0.00203867790771669,passenger,1
rail_621,118.06428335234,36.875772408406,8344,4346,73664693,250,0.00203867792476519,passenger,1
rail_621,118.070063651774,36.8754096452639,8345,4346,73673522,250,0.00203867794182365,passenger,1
rail_621,118.075843896399,36.8750466227718,8346,4346,73682351,250,0.0020386779588926,passenger,1
rail_621,118.082100551475,36.8791859176034,8347,4345,73691179,250,0.00203867797371901,passenger,1
rail_621,118.087881024127,36.8788223549904,8348,4345,73700008,250,0.00203867799082757,passenger,1
rail_621,118.093661441846,36.8784585330237,8349,4345,73708837,250,0.00203867800794464,passenger,1
rail_621,118.099441804594,36.8780944517071,8350,4345,73717666,250,0.00203867802507153,passenger,1
rail_621,118.105699984825,36.8822326007078,8351,4344,73726494,250,0.00203867803984851,passenger,1
rail_621,118.111480575274,36.8818679792054,8352,4344,73735323,250,0.00203867805700857,passenger,1
rail_621,118.117261110626,36.8815030983493,8353,4344,73744152,250,0.00203867807418848,passenger,1
rail_621,118.123041590844,36.8811379581431,8354,4344,73752981,250,0.00203867809137588,passenger,1
rail_621,118.129301295745,36.885274960999,8355,4343,73761809,250,0.00203867810609414,passenger,1
rail_621,118.135082003338,36.8849092805425,8356,4343,73770638,250,0.00203867812331722,passenger,1
rail_621,118.140862655671,36.8845433407322,8357,4343,73779467,250,0.00203867814055248,passenger,1
rail_621,118.146643252706,36.8841771415718,8358,4343,73788296,250,0.00203867815779835,passenger,1
rail_621,118.152423794404,36.883810683065,8359,4343,73797125,250,0.00203867817505185,passenger,1
rail_621,118.158204280728,36.8834439652155,8360,4343,73805954,250,0.00203867819232008,passenger,1
rail_621,118.163984711638,36.8830769880271,8361,4343,73814783,250,0.00203867820959861,passenger,1
rail_621,118.169765087097,36.8827097515034,8362,4343,73823612,250,0.00203867822688668,passenger,1
rail_621,118.175545407066,36.8823422556482,8363,4343,73832441,250,0.00203867824418174,passenger,1
rail_621,118.181808047599,36.8864767070916,8364,4342,73841269,250,0.00203867825898467,passenger,1
rail_621,118.187588594184,36.8861086708844,8365,4342,73850098,250,0.00203867827631768,passenger,1
rail_621,118.193369085154,36.8857403753419,8366,4342,73858927,250,0.00203867829366711,passenger,1
rail_621,118.199149520471,36.885371820468,8367,4342,73867756,250,0.00203867831102379,passenger,1
rail_621,118.204929900097,36.8850030062664,8368,4342,73876585,250,0.0020386783283928,passenger,1
rail_621,118.210710223993,36.8846339327407,8369,4342,73885414,250,0.00203867834576571,passenger,1
rail_621,118.21649049212,36.8842645998948,8370,4342,73894243,250,0.00203867836315454,passenger,1
rail_621,118.222270704441,36.8838950077325,8371,4342,73903072,250,0.00203867838055395,passenger,1
rail_621,118.228050860916,36.8835251562573,8372,4342,73911901,250,0.00203867839796495,passenger,1
rail_621,118.233830961509,36.8831550454732,8373,4342,73920730,250,0.00203867841538456,passenger,1
rail_621,118.239611006179,36.8827846753839,8374,4342,73929559,250,0.00203867843281298,passenger,1
rail_621,118.244904904515,36.8779120788882,8375,4343,73938389,250,0.0020386784525858,passenger,1
rail_621,118.250684499624,36.8775412120636,8376,4343,73947218,250,0.00203867847002133,passenger,1
rail_621,118.256464038706,36.87717008596,8377,4343,73956047,250,0.00203867848746737,passenger,1
rail_621,118.262243521723,36.8767987005811,8378,4343,73964876,250,0.00203867850492179,passenger,1
rail_621,118.268022948636,36.8764270559306,8379,4343,73973705,250,0.00203867852239068,passenger,1
rail_621,118.273802319407,36.8760551520124,8380,4343,73982534,250,0.00203867853986854,passenger,1
rail_621,118.279581633998,36.8756829888302,8381,4343,73991363,250,0.00203867855735748,passenger,1
rail_621,118.28536089237,36.8753105663877,8382,4343,74000192,250,0.00203867857485575,passenger,1
rail_621,118.291140094485,36.8749378846888,8383,4343,74009021,250,0.00203867859236632,passenger,1
rail_621,118.296919240305,36.8745649437372,8384,4343,74017850,250,0.0020386786098846,passenger,1
rail_621,118.302698329792,36.8741917435367,8385,4343,74026679,250,0.00203867862741284,passenger,1
rail_621,118.308477362906,36.8738182840912,8386,4343,74035508,250,0.00203867864495582,passenger,1
rail_621,118.314256339611,36.8734445654042,8387,4343,74044337,250,0.00203867866250699,passenger,1
rail_621,118.320035259867,36.8730705874798,8388,4343,74053166,250,0.00203867868006766,passenger,1
rail_621,118.325814123635,36.8726963503217,8389,4343,74061995,250,0.00203867869763889,passenger,1
rail_621,118.331592930879,36.8723218539336,8390,4343,74070824,250,0.00203867871522059,passenger,1
rail_621,118.337371681559,36.8719470983193,8391,4343,74079653,250,0.00203867873281324,passenger,1
rail_621,118.343150375638,36.8715720834827,8392,4343,74088482,250,0.00203867875041937,passenger,1
rail_621,118.348929013076,36.8711968094275,8393,4343,74097311,250,0.0020386787680319,passenger,1
rail_621,118.354707593836,36.8708212761577,8394,4343,74106140,250,0.00203867878565394,passenger,1
rail_621,118.360486117879,36.8704454836768,8395,4343,74114969,250,0.00203867880329163,passenger,1
rail_621,118.366264585167,36.8700694319889,8396,4343,74123798,250,0.00203867882093592,passenger,1
rail_621,118.372042995662,36.8696931210976,8397,4343,74132627,250,0.00203867883858986,passenger,1
rail_621,118.377327554665,36.8648150891784,8398,4344,74141457,250,0.0020386788580381,passenger,1
rail_621,118.383105514123,36.8644382820931,8399,4344,74150286,250,0.0020386788756981,passenger,1
rail_621,118.388883416683,36.8640612158307,8400,4344,74159115,250,0.00203867889336921,passenger,1
rail_621,118.394661262306,36.8636838903952,8401,4344,74167944,250,0.00203867891104964,passenger,1
rail_621,118.400439050955,36.8633063057904,8402,4344,74176773,250,0.00203867892873993,passenger,1
